"Name","logAge","e_logAge","Dist","e_Dist","Z","e_Z","E(B-V)","e_E(B-V)","Rv","e_Rv","_RA","_DE","plx","e_plx","RV","e_RV","Nc","sigRA","e_sigRA","sigDE","e_sigDE","pmRA","e_pmRA","pmDE","e_pmDE"
"DC_1",9.473,0.022,6.705,0.185,0.003,0.001,0.408,0.041,2.585,0.256,100.505,-12.966,0.159,0.012,"nan","nan",7.0,0.167,0.003,0.25,0.001,0.216,0.001,1.01,0.001
"Dolidze_18",7.015,0.115,3.533,0.304,0.012,0.006,0.478,0.053,2.813,0.257,80.83749,33.50806,0.277,0.031,"nan","nan",225.0,0.05,0.001,0.05,0.001,-0.237,0.003,-1.375,0.001
"Dolidze_41",8.525,0.082,3.36,0.205,0.013,0.003,1.072,0.048,2.322,0.093,304.70416,37.75,0.224,0.042,-33.463,0.818,525.0,0.051,0.009,0.05,0.001,-2.934,0.009,-4.678,0.008
"DutraBica_6",6.701,0.038,3.909,0.291,0.019,0.009,1.512,0.191,2.527,0.326,266.79,-28.77389,0.393,0.001,"nan","nan",27.0,0.076,0.008,0.138,0.005,0.494,0.003,-1.971,0.003
"FSR_0436",8.069,0.063,3.533,0.195,0.023,0.002,0.925,0.085,3.123,0.263,352.553,60.257,0.274,0.024,"nan","nan",25.0,0.05,0.001,0.05,0.001,-3.482,0.003,-1.9,0.005
"FSR_0453",6.961,0.089,4.213,0.319,0.016,0.006,0.948,0.079,2.86,0.238,356.849,63.219,0.28,0.046,-5.02,2.94,89.0,0.05,0.001,0.05,0.001,-2.961,0.022,-1.371,0.015
"FSR_0647",7.039,0.05,4.961,0.735,0.028,0.012,0.558,0.064,2.622,0.364,59.785,57.24,0.253,0.025,"nan","nan",94.0,0.05,0.001,0.097,0.002,0.033,0.001,0.453,0.002
"FSR_0665",7.945,0.415,3.339,0.385,0.028,0.011,0.683,0.063,2.885,0.266,61.3,51.52222,0.309,0.042,"nan","nan",91.0,0.05,0.001,0.05,0.001,-0.408,0.002,-1.189,0.001
"FSR_0763",7.562,0.024,3.553,0.134,0.032,0.003,0.515,0.025,2.247,0.146,83.6625,39.13667,0.279,0.024,"nan","nan",42.0,0.25,0.001,0.25,0.001,0.154,0.001,-1.445,0.002
"FSR_0814",7.557,0.095,1.883,0.257,0.011,0.01,0.79,0.112,2.655,0.316,84.21083,31.21083,0.549,0.03,"nan","nan",49.0,0.05,0.001,0.05,0.001,0.819,0.003,-3.686,0.003
"FSR_0828",9.063,0.003,6.194,0.237,0.032,0.011,0.52,0.037,2.41,0.234,88.06083,29.91917,0.202,0.04,"nan","nan",91.0,0.05,0.001,0.05,0.001,-0.05,0.001,-1.665,0.002
"FSR_0856",7.195,0.095,5.545,0.251,0.024,0.006,0.537,0.024,2.118,0.102,92.22917,26.26639,0.213,0.028,"nan","nan",36.0,0.05,0.001,0.05,0.001,0.218,0.002,-0.666,0.002
"FSR_0869",8.924,0.022,4.632,0.153,0.034,0.004,0.408,0.035,2.544,0.257,92.52083,24.55861,0.219,0.04,"nan","nan",71.0,0.05,0.001,0.05,0.001,0.533,0.003,-0.481,0.002
"FSR_1343",7.127,0.02,5.686,0.309,0.022,0.006,0.86,0.077,3.329,0.254,116.751,-32.959,0.213,0.024,45.62,0.92,36.0,0.05,0.001,0.05,0.001,-1.957,0.009,3.754,0.006
"FSR_1394",8.579,0.108,3.86,0.346,0.056,0.004,0.578,0.044,2.222,0.144,126.123,-41.287,0.229,0.037,"nan","nan",65.0,0.05,0.001,0.05,0.001,-3.81,0.006,4.444,0.008
"Graham_1",6.898,0.046,4.944,0.229,0.039,0.013,0.684,0.055,2.598,0.162,164.134,-63.018,0.244,0.035,3.88,1.74,103.0,0.19,0.014,0.05,0.001,-6.303,0.01,2.164,0.005
"Haffner_13",7.525,0.027,0.589,0.022,0.023,0.006,0.055,0.008,2.944,0.205,115.209,-30.073,1.749,0.012,"nan","nan",62.0,0.15,0.003,0.119,0.016,-6.198,0.013,5.85,0.013
"Kronberger_39",7.241,0.047,3.471,0.114,0.004,0.001,0.36,0.018,2.594,0.143,163.55667,-61.73778,0.144,0.016,"nan","nan",94.0,0.15,0.001,0.15,0.001,-5.955,0.001,2.167,0.002
"Loden_466",7.158,0.046,2.934,0.079,0.041,0.003,0.304,0.029,2.41,0.174,175.925,-62.537,0.391,0.008,"nan","nan",95.0,0.25,0.001,0.126,0.005,-6.365,0.004,0.751,0.005
"Majaess_207",6.9,0.024,2.511,0.078,0.048,0.007,0.75,0.103,2.965,0.362,"nan","nan",0.516,0.05,"nan","nan",66.0,0.05,0.001,0.25,0.002,-2.342,0.004,-4.399,0.011
"Majaess_211",8.224,0.069,1.253,0.071,0.017,0.004,0.386,0.028,2.416,0.171,318.31253,46.36916,0.877,0.014,"nan","nan",39.0,0.05,0.001,0.05,0.001,0.235,0.002,-3.957,0.004
"Majaess_225",7.037,0.092,3.6,0.543,0.016,0.005,1.002,0.072,2.255,0.204,354.93333,61.93,0.3,0.033,"nan","nan",52.0,0.05,0.001,0.142,0.001,-3.629,0.001,-1.405,0.001
"Majaess_227",8.735,0.025,2.061,0.11,0.055,0.004,0.703,0.085,2.454,0.303,356.82916,60.4675,0.46,0.018,-32.74,0.35,55.0,0.05,0.001,0.05,0.001,-2.637,0.008,-1.952,0.004
"Majaess_29",7.079,0.023,0.826,0.007,0.016,0.002,0.32,0.029,2.419,0.099,37.075,72.63,1.083,0.031,-7.47,6.38,43.0,0.25,0.001,0.108,0.037,-1.435,0.005,-1.335,0.016
"Majaess_50",7.638,0.214,2.322,0.021,0.003,0.002,0.577,0.044,2.19,0.085,71.33958,41.9875,0.281,0.05,0.25,0.73,386.0,0.25,0.001,0.25,0.001,0.449,0.004,-1.044,0.003
"Majaess_65",7.667,0.16,0.975,0.077,0.014,0.005,0.285,0.016,2.114,0.097,87.43333,27.10833,1.046,0.042,"nan","nan",61.0,0.05,0.001,0.05,0.001,-0.275,0.001,-0.981,0.002
