"Name","Type","u_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","RV","e_RV","n_RV","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","DeltaH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Source","SType","[Fe/H]"
"Berkeley_58, MWSC_1","nan","nan",0.067,60.933,116.75,-1.326,0.025,0.06,0.155,0.91,1.8,0.36,"nan","nan","nan",16,49,200,2700.0,0.72,12.389,0.346,0.231,0.0,8.466,0.068,7.0,1.14,0.26,12.67,3.26,5.38,1.02,"COCD","nan","nan"
"NGC_7801, MWSC_2","nan","nan",0.082,50.727,114.717,-11.331,0.015,0.07,0.156,-3.2,-3.47,0.71,"nan","nan","nan",2,14,65,1953.0,0.146,11.5,0.07,0.047,0.0,9.255,"nan",1.0,0.61,0.33,9.93,6.14,2.67,1.44,"DIAS","nan","nan"
"FSR_0459, MWSC_3","nan","nan",0.127,59.242,116.446,-2.99,0.02,0.04,0.09,-1.66,-0.01,0.59,"nan","nan","nan",8,19,55,3800.0,1.103,13.254,0.53,0.354,-0.03,8.95,0.034,10.0,2.41,0.44,13.43,2.24,1.53,0.2,"DIAS","irc","nan"
"Stock_18, MWSC_4","nan","nan",0.397,64.625,117.617,2.266,0.01,0.05,0.08,-3.41,-1.17,0.58,"nan","nan","nan",2,19,28,750.0,0.1,9.407,0.048,0.032,0.0,8.815,"nan",1.0,0.1,0.02,2.38,0.43,668.64,133.78,"DIAS","nan","nan"
"Berkeley_59, MWSC_5","nan","nan",0.559,67.425,118.219,5.001,0.035,0.067,0.22,-3.2,-1.11,0.47,-12.5,7.08,3.0,16,28,89,1000.0,1.241,10.399,0.596,0.398,-0.04,6.1,"nan","nan",0.55,0.06,6.51,0.74,153.96,12.16,"COCD","nan","nan"
"Berkeley_104, MWSC_8","nan","nan",0.852,63.58,117.615,1.202,0.02,0.045,0.135,-4.54,-4.42,0.52,"nan","nan","nan",8,27,143,3599.0,0.606,12.976,0.291,0.194,-0.005,8.85,0.027,10.0,1.15,0.25,14.2,3.29,4.69,0.96,"DIAS","nan",0.07
"IRAS_00013+6817, MWSC_9","nan","nan",0.996,68.565,118.595,6.091,0.01,0.055,0.09,-3.52,-1.55,0.87,"nan","nan","nan",2,9,23,1338.0,0.833,10.9,0.4,0.267,-0.02,7.15,"nan","nan",0.74,0.36,5.65,2.72,1.68,0.6,"BIEM","irc","nan"
"FSR_0504, MWSC_14","nan","nan",1.455,81.84,121.227,19.116,0.01,0.045,0.08,-3.57,7.83,0.68,"nan","nan","nan",2,10,14,3744.0,0.104,12.9,0.05,0.033,-0.02,9.45,"nan","nan",0.49,0.2,10.68,4.38,5.04,2.47,"FPOS","nan","nan"
"Czernik_1, MWSC_17","nan","nan",1.902,61.49,117.721,-0.941,0.012,0.03,0.07,-3.83,1.66,0.86,"nan","nan","nan",5,10,36,2609.0,0.833,12.35,0.4,0.267,-0.01,7.76,"nan","nan",0.44,0.19,4.46,1.97,8.81,3.43,"DIAS","nan","nan"
"SAI_1, MWSC_18","nan","nan",2.112,51.724,116.177,-10.586,0.012,0.045,0.065,-4.2,-1.78,0.76,"nan","nan","nan",2,13,19,1905.0,0.312,11.5,0.15,0.1,0.0,9.27,"nan","nan",0.26,0.14,2.93,1.65,27.2,11.56,"DIAS","nan","nan"
"ASCC_1, MWSC_19","nan","nan",2.413,62.704,118.158,0.217,0.03,0.043,0.105,-3.97,-3.18,0.53,-69.67,4.67,2.0,8,13,72,1600.0,0.489,11.178,0.235,0.157,0.03,8.406,"nan",1.0,0.38,0.16,5.51,1.88,6.09,3.28,"COCD","nan","nan"
"Berkeley_1, MWSC_20","nan","nan",2.4,60.467,117.79,-1.99,0.01,0.025,0.07,0.05,-2.13,1.02,"nan","nan","nan",3,8,42,10300.0,0.904,15.355,0.434,0.289,0.0,8.6,"nan","nan",1.06,0.37,31.16,10.17,0.94,0.45,"DIAS","nan","nan"
"King_13, MWSC_21","nan","nan",2.514,61.184,117.96,-1.291,0.03,0.05,0.115,0.09,-3.08,0.43,"nan","nan","nan",13,37,142,3100.0,0.82,12.721,0.394,0.263,0.01,8.597,0.057,6.0,2.19,0.71,7.34,1.85,2.69,0.79,"DIAS","nan","nan"
"Alessi_20, MWSC_23","nan","nan",2.667,58.748,117.648,-3.708,0.035,0.13,0.305,6.18,-2.37,0.47,-11.5,0.01,2.0,7,33,107,470.0,0.381,8.483,0.183,0.122,-0.01,7.596,0.183,2.0,1.1,0.22,3.74,0.59,55.91,9.87,"COCD","nan","nan"
"FSR_0474, MWSC_24","nan","nan",2.685,59.735,117.813,-2.735,0.017,0.045,0.09,-1.41,-0.02,0.51,"nan","nan","nan",5,23,59,4638.0,1.145,13.7,0.55,0.367,0.02,8.9,"nan","nan",1.09,0.35,14.2,4.72,1.53,0.53,"DIAS","irc","nan"
"FSR_0480, MWSC_25","nan","nan",3.736,61.471,118.583,-1.095,0.02,0.065,0.14,-0.14,-1.97,0.33,"nan","nan","nan",10,64,200,5492.0,0.937,14.0,0.45,0.3,-0.035,9.3,"nan","nan",3.0,0.58,22.54,4.53,1.79,0.2,"DIAS","irc","nan"
"PTB_7, MWSC_26","nan","nan",3.801,68.318,119.577,5.679,0.02,0.075,0.165,-0.3,-1.37,0.3,"nan","nan","nan",8,48,155,3917.0,1.041,13.3,0.5,0.333,-0.015,9.15,"nan","nan",4.2,1.22,18.31,4.68,0.48,0.1,"BIEM","irc","nan"
"Juchert-Saloran_1, MWSC_28","nan","nan",4.081,59.962,118.541,-2.613,0.025,0.05,0.125,-2.42,-1.19,0.35,"nan","nan","nan",19,35,124,5326.0,0.833,13.9,0.4,0.267,0.0,9.3,"nan","nan",1.57,0.31,17.91,3.43,2.12,0.45,"DIAS","nan","nan"
"Berkeley_60, MWSC_29","nan","nan",4.425,60.934,118.839,-1.673,0.015,0.04,0.09,-0.5,-3.78,0.43,"nan","nan","nan",11,25,91,3299.0,0.958,12.9,0.46,0.307,0.04,8.4,"nan","nan",0.75,0.16,10.92,2.56,11.19,2.24,"DIAS","nan",0.07
"ASCC_2, MWSC_31","nan","nan",4.875,55.645,118.397,-6.948,0.055,0.1,0.22,-1.56,-1.34,0.33,"nan","nan","nan",20,54,221,2301.0,0.5,11.97,0.24,0.16,0.0,8.87,0.08,3.0,1.15,0.47,13.58,6.2,1.94,0.66,"COCD","nan","nan"
"FSR_0486, MWSC_32","nan","nan",5.103,59.332,118.973,-3.304,0.015,0.02,0.06,-2.1,-2.11,0.87,"nan","nan","nan",5,7,28,1850.0,0.55,11.513,0.264,0.176,0.0,8.9,"nan","nan",0.42,0.12,2.96,0.76,20.79,4.9,"DIAS","irc","nan"
"FSR_0479, MWSC_33","nan","nan",5.311,54.827,118.546,-7.791,0.012,0.038,0.09,-3.36,-1.18,0.72,"nan","nan","nan",3,10,41,2038.0,0.479,11.7,0.23,0.153,0.01,8.8,"nan",1.0,0.75,0.22,6.41,1.9,5.76,1.34,"FPOS","nan","nan"
"Mayer_1, MWSC_34","nan","nan",5.514,61.741,119.456,-0.935,0.015,0.045,0.115,-3.96,-3.21,0.52,-20.9,2.0,1.0,4,26,115,1430.0,0.5,10.938,0.24,0.16,-0.03,7.74,"nan","nan",0.57,0.24,6.87,3.16,5.43,1.86,"COCD","nan","nan"
"King_1, MWSC_35","nan","nan",5.515,64.384,119.758,1.69,0.025,0.09,0.22,-2.6,-4.29,0.17,"nan","nan","nan",27,186,595,1659.0,0.625,11.3,0.3,0.2,-0.03,9.7,"nan","nan",1.33,0.18,10.72,1.57,19.77,1.53,"DIAS","nan","nan"
"FSR_0477, MWSC_36","nan","nan",5.745,51.883,118.463,-10.745,0.015,0.06,0.12,-3.76,2.02,0.53,"nan","nan","nan",4,19,52,1908.0,0.458,11.55,0.22,0.147,0.0,9.04,"nan","nan",0.24,0.11,7.38,3.45,20.7,11.93,"FPOS","nan","nan"
"SAI_4, MWSC_37","nan","nan",5.907,62.71,119.746,0.007,0.02,0.035,0.067,-4.53,-3.83,0.56,-100.7,0.0,1.0,9,18,45,1600.0,0.4,11.149,0.192,0.128,0.005,8.8,0.069,2.0,0.42,0.14,2.62,0.88,27.9,6.08,"DIAS","nan","nan"
"Stock_20, MWSC_39","nan","nan",6.313,62.602,119.92,-0.12,0.025,0.06,0.14,-2.56,-3.24,0.38,"nan","nan","nan",10,37,145,1100.0,0.2,10.271,0.096,0.064,-0.02,8.337,"nan",1.0,1.07,0.28,5.24,1.27,11.86,1.7,"COCD","nan","nan"
"NGC_103, MWSC_40","nan","nan",6.27,61.34,119.771,-1.373,0.025,0.045,0.09,-2.49,-3.62,0.44,-116.7,0.0,1.0,12,29,71,2501.0,0.45,12.135,0.216,0.144,-0.02,8.565,0.057,7.0,1.2,0.9,5.19,3.27,0.74,0.42,"DIAS","nan","nan"
"Berkeley_2, MWSC_41","nan","nan",6.316,60.382,119.696,-2.328,0.022,0.035,0.1,0.88,-2.5,0.54,"nan","nan","nan",14,25,108,5499.0,0.899,13.991,0.432,0.288,0.0,8.99,0.037,8.0,1.29,0.47,16.16,6.52,1.47,0.49,"DIAS","nan","nan"
"FSR_0494, MWSC_42","nan","nan",6.42,63.75,120.084,1.018,0.02,0.06,0.165,-2.87,-2.72,0.29,"nan","nan","nan",9,61,244,5087.0,0.521,13.7,0.25,0.167,-0.01,9.3,"nan","nan",2.48,0.42,27.52,5.16,2.22,0.29,"DIAS","irc","nan"
"FSR_0496, MWSC_44","nan","nan",6.675,64.03,120.223,1.285,0.018,0.075,0.17,-0.29,-2.48,0.29,"nan","nan","nan",8,62,235,1123.0,0.77,10.5,0.37,0.247,0.0,9.055,0.049,3.0,1.84,0.47,5.19,0.94,19.39,5.62,"DIAS","irc","nan"
"NGC_110, MWSC_45","nan","nan",6.855,71.422,120.996,8.637,0.02,0.052,0.115,2.65,3.61,0.61,"nan","nan","nan",4,18,46,1600.0,0.65,11.23,0.312,0.208,0.0,8.97,"nan","nan",0.62,0.24,5.86,2.26,4.37,1.5,"DIAS","dub","nan"
"SAI_6, MWSC_46","nan","nan",6.978,60.677,120.049,-2.066,0.02,0.045,0.12,0.75,-1.95,0.64,"nan","nan","nan",8,22,104,3100.0,0.899,12.746,0.432,0.288,0.0,8.7,"nan","nan",3.49,0.66,9.15,1.14,3.4,0.74,"DIAS","nan","nan"
"FSR_0481, MWSC_48","nan","nan",7.234,43.279,118.586,-19.406,0.01,0.045,0.11,3.5,1.31,0.66,"nan","nan","nan",3,11,26,2373.0,0.385,12.0,0.185,0.123,0.0,9.1,"nan","nan",0.38,0.15,6.79,3.0,12.9,5.76,"FPOS","nan","nan"
"FSR_0503, MWSC_51","nan","nan",7.357,68.894,120.938,6.104,0.035,0.06,0.14,0.53,1.02,0.42,"nan","nan","nan",15,26,119,4701.0,0.799,13.618,0.384,0.256,0.01,9.18,"nan","nan",2.75,0.62,22.25,5.24,0.92,0.15,"FPOS","nan","nan"
"Stock_21, MWSC_52","nan","nan",7.561,57.931,120.107,-4.828,0.02,0.037,0.155,-1.28,-2.06,0.47,"nan","nan","nan",6,18,170,1700.0,0.416,11.286,0.2,0.133,-0.022,8.825,0.022,6.0,0.61,0.22,8.76,3.46,7.22,2.36,"COCD","nan","nan"
"NGC_129, MWSC_53","nan","nan",7.542,60.203,120.285,-2.563,0.02,0.055,0.155,-2.34,-1.29,0.44,-38.03,0.82,4.0,7,36,237,1685.0,0.541,11.307,0.26,0.173,-0.01,7.975,"nan","nan",2.29,0.41,7.26,0.99,9.05,1.58,"COCD","nan","nan"
"NGC_133, MWSC_55","nan","nan",7.819,63.345,120.668,0.559,0.015,0.035,0.08,-1.92,-1.17,0.66,"nan","nan","nan",5,12,45,1861.0,0.625,11.55,0.3,0.2,-0.035,7.3,"nan","nan",0.29,0.11,3.69,1.48,20.05,8.27,"DIAS","nan","nan"
"NGC_136, MWSC_56","nan","nan",7.9,61.51,120.563,-1.274,0.015,0.055,0.125,0.31,-1.16,0.51,"nan","nan","nan",5,26,77,3519.0,0.833,13.0,0.4,0.267,0.0,8.4,"nan","nan",0.95,0.23,14.74,3.86,4.08,1.07,"DIAS","nan","nan"
"King_14, MWSC_57","nan","nan",8.014,63.181,120.743,0.388,0.017,0.05,0.14,-3.77,-1.53,0.35,"nan","nan","nan",7,41,188,2600.0,0.6,12.268,0.288,0.192,-0.01,7.7,"nan","nan",1.15,0.2,10.94,2.0,8.39,1.16,"DIAS","nan","nan"
"King_15, MWSC_58","nan","nan",8.199,61.89,120.733,-0.905,0.025,0.05,0.095,-3.27,-0.31,0.73,"nan","nan","nan",6,14,27,5500.0,0.7,13.927,0.336,0.224,0.0,8.4,"nan","nan",1.9,0.72,16.81,6.89,0.82,0.21,"DIAS","nan",0.07
"NGC_146, MWSC_59","nan","nan",8.226,63.305,120.847,0.505,0.025,0.06,0.16,-4.17,-2.23,0.41,"nan","nan","nan",8,34,205,2800.0,0.6,12.429,0.288,0.192,0.0,7.701,0.214,3.0,2.17,0.45,12.71,2.59,4.72,0.47,"COCD","nan","nan"
"NGC_189, MWSC_62","nan","nan",9.87,61.115,121.483,-1.726,0.017,0.045,0.12,-0.31,-2.71,0.6,"nan","nan","nan",5,17,82,1300.0,0.7,10.795,0.336,0.224,0.0,8.709,0.047,4.0,0.87,0.21,3.85,0.76,12.29,2.2,"DIAS","nan","nan"
"Stock_24, MWSC_63","nan","nan",9.94,61.965,121.555,-0.879,0.02,0.045,0.145,-1.85,1.71,0.4,"nan","nan","nan",5,19,126,2400.0,0.55,12.078,0.264,0.176,0.0,7.984,"nan",1.0,0.75,0.2,11.27,3.48,8.24,2.1,"DIAS","nan","nan"
"Dolidze_12, MWSC_65","nan","nan",10.192,60.855,121.628,-1.993,0.02,0.08,0.13,-0.72,-0.99,0.33,"nan","nan","nan",7,44,112,4000.0,0.5,13.171,0.24,0.16,0.0,9.135,0.022,14.0,2.56,0.65,19.56,5.16,0.79,0.14,"DREM","ast","nan"
"FSR_0508, MWSC_66","nan","nan",10.473,64.956,121.917,2.1,0.016,0.021,0.055,1.72,-0.47,0.75,"nan","nan","nan",8,10,29,5501.0,1.199,14.088,0.576,0.384,-0.03,9.18,"nan","nan",0.85,0.54,6.99,4.61,1.9,0.84,"DIAS","irc","nan"
"Dias_1, MWSC_67","nan","nan",10.653,64.06,121.962,1.202,0.02,0.06,0.14,-0.86,1.33,0.29,"nan","nan","nan",12,52,165,2186.0,0.937,12.0,0.45,0.3,0.01,7.9,"nan","nan",0.67,0.17,9.06,2.58,12.64,2.88,"DIAS","nan","nan"
"NGC_225, MWSC_68","nan","nan",10.8,61.782,121.953,-1.077,0.02,0.07,0.18,-3.09,-0.75,0.41,-28.0,"nan",1.0,3,29,155,850.0,0.6,9.84,0.288,0.192,-0.02,8.191,0.058,2.0,0.26,0.14,3.58,2.08,14.0,7.76,"COCD","nan","nan"
"Czernik_2, MWSC_69","nan","nan",10.924,60.152,121.963,-2.708,0.02,0.045,0.11,-0.71,-1.0,0.44,"nan","nan","nan",6,28,92,4500.0,0.5,13.427,0.24,0.16,0.01,9.123,0.036,6.0,1.25,0.35,18.31,5.72,2.13,0.58,"DIAS","nan","nan"
"King_16, MWSC_70","nan","nan",10.965,64.18,122.102,1.317,0.02,0.065,0.13,-0.66,1.58,0.34,"nan","nan","nan",9,45,124,2325.0,0.833,12.1,0.4,0.267,0.0,7.8,"nan","nan",0.8,0.15,10.53,2.16,11.82,2.11,"DIAS","nan","nan"
"FSR_0507, MWSC_71","nan","nan",11.01,52.36,121.778,-10.498,0.02,0.075,0.15,-5.26,0.37,0.42,"nan","nan","nan",3,25,69,2203.0,0.885,12.0,0.425,0.283,0.01,9.0,"nan","nan",2.17,0.69,7.78,1.8,1.29,0.34,"FPOS","nan","nan"
"Berkeley_4, MWSC_73","nan","nan",11.268,64.382,122.239,1.516,0.03,0.06,0.17,-0.23,0.47,0.42,"nan","nan","nan",14,35,166,3300.0,0.7,12.818,0.336,0.224,-0.01,7.3,"nan","nan",1.79,0.33,18.05,3.67,4.06,0.54,"COCD","nan","nan"
"NGC_188, MWSC_74","nan","nan",11.85,85.255,122.839,22.381,0.035,0.2,0.57,0.11,-1.84,0.13,-45.0,2.13,21.0,29,302,705,2000.0,0.085,11.533,0.041,0.027,-0.015,9.65,"nan","nan",2.62,0.22,23.14,2.11,18.89,0.96,"DIAS","nan",-0.01
"Berkeley_61, MWSC_75","nan","nan",12.079,67.193,122.624,4.32,0.025,0.06,0.1,-1.95,0.98,0.62,"nan","nan","nan",6,17,51,2153.0,1.041,12.0,0.5,0.333,-0.01,8.985,0.015,2.0,1.4,0.47,4.24,0.69,2.84,0.68,"DIAS","nan","nan"
"Dolidze_13, MWSC_76","nan","nan",12.51,64.091,122.775,1.216,0.02,0.055,0.11,-1.49,2.45,0.52,"nan","nan","nan",5,25,58,2400.0,0.35,12.014,0.168,0.112,-0.01,8.962,0.04,2.0,0.43,0.2,8.74,4.63,6.71,3.57,"DIAS","dub","nan"
"FSR_0515, MWSC_77","nan","nan",12.682,54.765,122.823,-8.11,0.012,0.051,0.085,-4.27,-2.34,0.55,"nan","nan","nan",2,19,33,2362.0,0.416,12.0,0.2,0.133,0.0,9.275,"nan","nan",1.12,0.21,7.25,1.32,6.72,0.9,"FPOS","nan","nan"
"FSR_0516, MWSC_78","nan","nan",12.637,65.965,122.837,3.09,0.018,0.085,0.17,-1.8,-0.45,0.58,"nan","nan","nan",2,16,65,810.0,2.04,10.2,0.98,0.654,0.05,8.83,0.052,4.0,1.54,0.33,4.83,0.78,15.03,3.15,"DIAS","irc","nan"
"King_2, MWSC_79","nan","nan",12.732,58.201,122.859,-4.674,0.02,0.05,0.1,-1.71,-0.08,0.6,-144.25,5.92,7.0,2,15,53,5499.0,0.3,13.798,0.144,0.096,0.0,9.67,"nan","nan",4.27,1.34,12.16,2.62,0.92,0.31,"DIAS","nan",-0.42
"FSR_0519, MWSC_83","nan","nan",13.122,64.667,123.04,1.792,0.02,0.06,0.14,-0.68,1.43,0.38,"nan","nan","nan",6,39,134,1450.0,0.7,11.032,0.336,0.224,0.0,9.22,"nan","nan",0.77,0.27,7.38,2.82,4.94,1.25,"DIAS","irc","nan"
"FSR_0521, MWSC_86","nan","nan",13.245,59.835,123.121,-3.039,0.015,0.06,0.125,-1.36,-0.18,0.36,"nan","nan","nan",5,36,122,2534.0,0.562,12.2,0.27,0.18,0.02,9.21,0.053,11.0,1.7,0.44,12.04,3.13,3.44,0.43,"DIAS","irc","nan"
"ASCC_4, MWSC_87","nan","nan",13.32,61.6,123.146,-1.274,0.025,0.085,0.21,-1.15,-0.63,0.54,-9.24,9.3,4.0,4,25,118,550.0,0.25,8.782,0.12,0.08,-0.04,8.65,"nan","nan",0.54,0.15,2.91,0.75,26.38,4.73,"COCD","nan","nan"
"Alessi_1, MWSC_88","nan","nan",13.327,49.48,123.238,-13.394,0.05,0.175,0.425,6.13,-7.53,0.46,6.0,1.8,1.0,4,21,95,750.0,0.1,9.407,0.048,0.032,0.0,8.84,"nan","nan",4.59,2.4,7.68,1.84,5.47,5.72,"COCD","nan","nan"
"FSR_0522, MWSC_89","nan","nan",13.5,65.797,123.19,2.923,0.02,0.055,0.105,-0.7,1.18,0.52,"nan","nan","nan",12,29,72,1506.0,0.874,11.17,0.42,0.28,-0.01,9.075,"nan",1.0,0.35,0.09,5.1,1.2,19.33,5.89,"DIAS","irc","nan"
"FSR_0524, MWSC_92","nan","nan",14.32,62.125,123.61,-0.742,0.01,0.06,0.11,-1.57,-0.07,0.3,"nan","nan","nan",4,46,101,1841.0,0.541,11.5,0.26,0.173,-0.04,9.19,"nan","nan",0.74,0.15,7.04,1.58,16.83,2.44,"FPOS","nan","nan"
"ASCC_5, MWSC_93","nan","nan",14.407,55.855,123.802,-7.01,0.03,0.1,0.19,-1.82,-3.15,0.44,-43.0,3.7,1.0,5,25,85,523.0,0.021,8.6,0.01,0.007,-0.015,7.78,"nan","nan",0.21,0.15,3.01,2.54,16.26,10.55,"COCD","nan","nan"
"Skiff_J0058+68.4, MWSC_94","nan","nan",14.542,68.465,123.548,5.598,0.02,0.12,0.32,-2.29,0.81,0.18,"nan","nan","nan",8,156,597,2000.0,0.65,11.714,0.312,0.208,-0.02,9.02,0.015,32.0,2.98,0.35,17.47,1.98,9.45,0.49,"DIAS","nan","nan"
"Berkeley_62, MWSC_97","nan","nan",15.277,63.935,123.99,1.08,0.018,0.075,0.16,-2.65,1.7,0.27,"nan","nan","nan",7,64,198,2000.0,0.731,11.74,0.351,0.234,0.0,7.3,"nan","nan",1.3,0.25,8.91,1.73,8.65,1.01,"DIAS","var","nan"
"Czernik_3, MWSC_98","nan","nan",15.787,62.787,124.266,-0.058,0.01,0.04,0.08,-1.55,0.36,0.68,"nan","nan","nan",4,13,39,1600.0,0.999,11.342,0.48,0.32,0.0,8.8,"nan","nan",0.23,0.08,5.12,1.88,23.25,10.36,"DIAS","nan","nan"
"NGC_366, MWSC_102","nan","nan",16.635,62.224,124.686,-0.6,0.027,0.07,0.16,-0.54,-2.0,0.28,"nan","nan","nan",16,68,185,2200.0,0.999,12.034,0.48,0.32,0.0,7.9,"nan","nan",1.34,0.26,6.97,1.24,11.94,1.49,"DIAS","nan","nan"
"NGC_381, MWSC_105","nan","nan",17.107,61.579,124.948,-1.229,0.02,0.1,0.18,0.22,-2.07,0.24,-22.0,6.0,2.0,9,92,233,1200.0,0.339,10.505,0.163,0.109,0.0,8.85,0.029,9.0,0.6,0.11,6.62,1.35,32.4,4.71,"COCD","nan",0.07
"Stock_3, MWSC_108","nan","nan",18.037,62.258,125.335,-0.52,0.02,0.07,0.11,-0.13,-0.64,0.45,-6.0,0.0,1.0,3,39,90,1363.0,0.708,10.9,0.34,0.227,-0.03,7.85,"nan","nan",0.37,0.1,5.93,1.83,20.68,5.97,"DIAS","nan","nan"
"NGC_433, MWSC_110","nan","nan",18.801,60.123,125.886,-2.616,0.02,0.06,0.14,-2.32,-1.6,0.33,-36.91,0.18,1.0,6,45,151,1650.0,0.6,11.281,0.288,0.192,0.0,7.81,"nan",1.0,1.56,0.55,5.82,1.68,3.8,1.07,"COCD","nan","nan"
"NGC_436, MWSC_111","nan","nan",18.996,58.811,126.108,-3.913,0.04,0.095,0.155,-1.9,-2.15,0.35,-74.28,0.27,1.0,22,51,77,3000.0,0.46,12.534,0.221,0.147,0.0,7.925,"nan","nan",0.8,0.21,10.18,2.92,8.75,2.22,"DIAS","nan","nan"
"NGC_457, MWSC_114","nan","nan",19.905,58.28,126.635,-4.392,0.055,0.13,0.22,-1.92,-2.19,0.18,-32.69,3.47,7.0,40,153,321,2400.0,0.4,12.03,0.192,0.128,0.0,7.38,"nan","nan",2.6,0.44,10.31,1.49,7.57,0.95,"COCD","nan","nan"
"FSR_0544, MWSC_115","nan","nan",19.957,52.667,127.29,-9.968,0.02,0.075,0.165,-2.74,1.38,0.38,"nan","nan","nan",6,43,113,1799.0,0.7,11.5,0.336,0.224,0.0,8.906,0.02,4.0,0.7,0.34,11.87,6.42,2.78,1.27,"FPOS","nan","nan"
"FSR_0536, MWSC_116","nan","nan",19.933,63.067,126.125,0.368,0.02,0.08,0.16,-1.16,1.98,0.28,"nan","nan","nan",11,69,146,3001.0,1.199,12.772,0.576,0.384,0.0,8.397,"nan","nan",1.53,0.24,14.88,2.38,4.79,0.65,"DIAS","irc","nan"
"FSR_0538, MWSC_117","nan","nan",20.512,63.703,126.31,1.029,0.01,0.06,0.115,-0.95,2.77,0.47,"nan","nan","nan",3,27,82,2146.0,1.062,12.0,0.51,0.34,0.0,8.86,0.018,4.0,1.04,0.32,9.54,3.01,1.94,0.53,"DIAS","irc","nan"
"FSR_0542, MWSC_119","nan","nan",21.45,62.985,126.818,0.369,0.025,0.085,0.14,1.22,-2.31,0.32,"nan","nan","nan",14,65,138,1934.0,0.833,11.7,0.4,0.267,0.01,8.35,"nan","nan",0.75,0.2,7.54,2.2,10.35,2.15,"DIAS","irc","nan"
"SAI_14, MWSC_120","nan","nan",21.517,62.613,126.898,0.005,0.02,0.07,0.12,2.24,-3.98,0.56,"nan","nan","nan",5,26,93,5086.0,0.833,13.8,0.4,0.267,-0.025,9.45,"nan","nan",1.03,0.35,19.3,6.61,1.62,0.66,"DIAS","nan","nan"
"FSR_0560, MWSC_121","nan","nan",21.997,44.155,129.815,-18.231,0.018,0.08,0.15,0.07,-1.76,0.52,"nan","nan","nan",5,22,44,1802.0,0.697,11.503,0.335,0.223,0.0,8.855,0.047,5.0,0.58,0.21,8.6,3.4,7.38,2.57,"FPOS","nan","nan"
"NGC_559, MWSC_122","nan","nan",22.38,63.302,127.189,0.742,0.03,0.12,0.3,-3.19,-1.28,0.19,-37.7,0.0,1.0,19,162,530,2200.0,0.6,11.905,0.288,0.192,-0.015,8.8,"nan","nan",2.83,0.43,16.51,2.48,5.22,0.4,"DIAS","nan","nan"
"NGC_581, MWSC_124","nan","nan",23.316,60.652,128.033,-1.808,0.035,0.075,0.17,-1.14,0.37,0.29,-41.43,1.65,6.0,20,44,176,2199.0,0.331,11.818,0.159,0.106,-0.013,7.44,"nan","nan",1.08,0.22,11.84,2.68,7.59,1.23,"COCD","nan","nan"
"FSR_0531, MWSC_125","nan","nan",23.355,74.742,125.739,12.096,0.015,0.08,0.165,3.39,-2.08,0.48,"nan","nan","nan",3,22,83,3896.0,0.146,13.0,0.07,0.047,-0.03,9.4,"nan","nan",4.44,1.32,15.79,3.81,0.93,0.23,"FPOS","nan","nan"
"Czernik_4, MWSC_126","nan","nan",23.902,61.463,128.178,-0.961,0.01,0.037,0.07,0.13,-3.9,0.88,"nan","nan","nan",2,10,21,1700.0,0.999,11.474,0.48,0.32,0.0,8.12,"nan","nan",0.33,0.14,4.16,1.97,12.92,5.09,"DIAS","nan","nan"
"Trumpler_1, MWSC_127","nan","nan",23.91,61.275,128.214,-1.146,0.01,0.045,0.08,0.67,-2.16,0.51,-65.0,30.0,1.0,2,22,50,2399.0,0.583,12.088,0.28,0.187,-0.02,7.1,"nan","nan",0.71,0.24,4.68,1.58,9.43,2.07,"DIAS","nan","nan"
"NGC_609, MWSC_128","nan","nan",24.094,64.535,127.736,2.08,0.03,0.08,0.125,-0.45,-1.38,0.28,"nan","nan","nan",21,71,124,4499.0,0.75,13.507,0.36,0.24,-0.02,9.15,"nan","nan",2.15,0.36,19.0,3.38,3.09,0.36,"DIAS","nan","nan"
"FSR_0546, MWSC_129","nan","nan",24.3,65.85,127.59,3.39,0.03,0.09,0.15,2.32,0.36,0.3,"nan","nan","nan",13,72,140,2501.0,1.099,12.344,0.528,0.352,0.0,9.0,"nan","nan",1.48,0.21,11.9,1.72,5.92,0.7,"DIAS","irc","nan"
"FSR_0553, MWSC_132","nan","nan",25.234,64.515,128.222,2.15,0.025,0.06,0.12,-1.15,0.87,0.3,"nan","nan","nan",14,44,119,7500.0,0.999,14.697,0.48,0.32,0.02,8.6,"nan","nan",4.18,0.53,29.48,3.14,0.82,0.09,"DIAS","irc","nan"
"NGC_637, MWSC_133","nan","nan",25.777,64.045,128.545,1.735,0.011,0.06,0.145,-1.16,-1.7,0.36,-39.1,7.1,2.0,4,47,226,2500.0,0.61,12.186,0.293,0.195,0.0,7.3,"nan","nan",1.41,0.29,9.2,1.9,5.61,0.78,"COCD","nan","nan"
"FSR_0539, MWSC_134","nan","nan",25.792,74.405,126.454,11.885,0.02,0.06,0.14,-0.35,1.29,0.46,"nan","nan","nan",4,22,58,2121.0,0.521,11.8,0.25,0.167,0.0,9.305,0.053,6.0,1.19,0.29,9.67,2.49,4.99,0.81,"FPOS","nan","nan"
