"Cl","Ns","Age","e_Age","f_Age","RAdeg","e_RAdeg","DEdeg","e_DEdeg","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","Nred","E(Bp-Rp)","e_E(Bp-Rp)","Nwd","e_Nwd","f_Nwd","GC20","Nt1","Nt4"
"Alessi 3",40.0,600.0,100.0,"CG",109.117,0.664,-46.554,0.604,-9.876,0.617,11.883,0.601,3.559,0.205,31.0,0.098,0.021,8.8,1.7,"nan",1,0,0
"Alessi 5",92.0,80.0,20.0,"CG",160.802,0.885,-61.109,0.649,-15.344,0.469,2.573,0.437,2.201,1.694,55.0,0.256,0.014,1.6,0.7,"nan",1,0,1
"Alessi 6",71.0,30.0,10.0,"CG",221.96,0.253,-66.43,0.133,-7.552,0.248,-10.301,0.288,2.326,0.345,37.0,0.193,0.034,0.0,0.32,"nan",1,0,0
"Alessi 8",192.0,100.0,30.0,"CG",232.624,1.402,-51.271,0.982,-5.914,0.165,-5.689,0.163,1.479,0.152,62.0,0.149,0.022,1.6,0.7,"nan",1,1,2
"Alessi 9","nan",281.0,135.0,"CG",265.908,0.217,-46.944,0.225,9.844,0.178,-8.948,0.072,4.792,0.512,29.0,0.07,0.019,2.3,0.97,"nan",1,0,0
"Alessi 12",182.0,100.0,40.0,"CG",310.949,0.753,23.799,0.703,4.354,0.218,-4.645,0.184,1.848,0.445,125.0,0.098,0.008,2.8,1.6,"nan",1,0,9
"Alessi 13","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Alessi 19",56.0,110.0,90.0,"CG",275.248,2.065,11.923,1.997,-1.015,0.158,-7.001,0.158,1.545,0.276,12.0,0.115,0.059,0.54,0.68,"nan",1,0,25
"Alessi 20",81.0,9.0,4.0,"H",2.572,0.674,58.742,0.385,8.186,0.388,-2.43,0.444,2.3,0.287,27.0,0.566,0.082,0.0,1.1,"nan",1,0,0
"Alessi 21",176.0,60.0,20.0,"CG",107.686,0.699,-9.406,0.659,-5.492,0.211,2.568,0.214,1.74,0.153,104.0,0.1,0.011,1.4,1.4,"nan",1,1,17
"Alpha Per",133.0,51.0,25.0,"H",52.331,1.447,48.586,1.162,22.657,1.169,-26.014,1.191,5.729,0.219,94.0,0.158,0.01,0.72,1.7,"nan",1,0,1
"ASCC 4",202.0,300.0,100.0,"CG",13.211,1.682,61.55,0.88,2.777,0.303,-0.934,0.292,1.073,0.594,56.0,0.415,0.037,10.4,2.5,"nan",0,0,0
"ASCC 6","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 10",152.0,263.0,126.0,"H",51.905,1.411,35.016,1.207,-1.659,0.22,-1.348,0.232,1.464,0.184,61.0,0.306,0.013,7.6,3.1,"nan",1,0,0
"ASCC 11",569.0,246.0,117.0,"H",53.06,1.033,44.862,0.885,0.921,0.244,-2.999,0.248,1.116,0.188,204.0,0.322,0.008,23.0,10.1,"nan",1,0,0
"ASCC 12",293.0,93.0,45.0,"H",72.424,0.696,41.797,0.611,-0.577,0.252,-2.778,0.237,0.994,0.136,121.0,0.31,0.012,4.5,3.5,"nan",1,0,0
"ASCC 13",448.0,32.0,15.0,"H",78.636,1.936,44.817,1.825,-0.465,0.131,-1.736,0.133,0.912,0.161,104.0,0.324,0.018,0.0,2.5,"nan",1,0,0
"ASCC 18","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 19","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 20","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 21","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 23",181.0,234.0,112.0,"H",95.02,0.64,46.716,0.561,1.1,0.23,-0.648,0.227,1.556,0.15,91.0,0.141,0.013,7.2,3.2,"nan",1,0,0
"ASCC 26","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 28","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 29","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 30","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 31","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 32","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 33","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 34","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 35","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 36","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 38","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 40","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 41",44.0,214.0,102.0,"H",116.711,0.26,0.094,0.28,0.716,0.346,-4.004,0.331,3.35,0.171,29.0,0.031,0.01,1.5,0.63,"nan",0,0,0
"ASCC 42",124.0,400.0,50.0,"CG",118.261,0.848,-53.058,0.785,-5.367,0.213,8.892,0.225,1.39,0.15,68.0,0.219,0.016,8.4,0.93,"nan",1,0,0
"ASCC 43","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 44","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 46","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 47",171.0,90.0,20.0,"CG",128.15,1.243,-39.355,1.157,-8.1,0.226,5.6,0.238,1.272,0.14,94.0,0.136,0.015,4.7,1.7,"nan",0,1,0
"ASCC 49",78.0,20.0,10.0,"CG",131.624,0.743,-38.048,0.61,-8.49,0.198,3.631,0.206,1.49,0.14,47.0,0.225,0.032,0.0,"nan","nan",0,0,0
"ASCC 50",257.0,30.0,10.0,"CG",131.908,0.855,-42.407,0.792,-12.344,0.336,6.501,0.323,2.258,0.14,161.0,0.102,0.01,0.0,"nan","nan",1,0,0
"ASCC 51","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 56","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 58","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 59","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 60","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 66","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 68",582.0,200.0,50.0,"CG",180.634,0.899,-60.895,0.665,-6.626,0.156,1.617,0.159,0.957,0.207,216.0,0.279,0.009,23.2,5.6,"nan",1,0,0
"ASCC 69","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 71","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 72","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 73","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 74","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 76","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 81","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 82","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 83","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 84","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 85","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 86","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 87","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 89","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 91","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 96","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 97","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 98","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 99",21.0,"nan","nan","nan",282.18,0.432,-18.724,0.46,4.994,0.153,-1.522,0.183,3.188,0.315,12.0,0.242,0.039,"nan","nan","#",1,0,0
"ASCC 100","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 101",49.0,420.0,20.0,"CG",288.346,0.316,36.376,0.308,1.005,0.319,1.347,0.304,2.507,0.138,30.0,0.068,0.016,4.0,0.3,"nan",1,0,0
"ASCC 103",93.0,230.0,90.0,"CG",294.087,0.373,35.768,0.347,-0.701,0.421,-2.366,0.417,2.0,0.16,62.0,0.084,0.01,3.5,1.2,"nan",1,0,0
"ASCC 104","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 105","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 106","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 107",74.0,17.0,8.0,"H",297.167,0.275,21.974,0.262,-0.174,0.156,-5.136,0.15,1.102,0.162,21.0,0.77,0.054,0.0,0.59,"nan",1,0,0
"ASCC 109","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 112","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 113",234.0,240.0,40.0,"CG",317.989,0.732,38.638,0.675,0.787,0.22,-3.696,0.23,1.751,0.142,155.0,0.078,0.006,13.3,2.1,"nan",0,1,16
"ASCC 114","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 115",51.0,200.0,30.0,"CG",329.321,0.572,51.554,0.42,-0.542,0.115,-0.553,0.112,1.305,0.123,26.0,0.36,0.026,4.17,0.69,"nan",1,0,0
"ASCC 117","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 118","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 123","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 124",192.0,300.0,100.0,"CG",341.959,0.903,46.322,0.728,0.32,0.211,-1.577,0.205,1.373,0.168,103.0,0.243,0.01,11.6,2.8,"nan",1,0,0
"ASCC 126","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"ASCC 127","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"ASCC 128",213.0,251.0,120.0,"H",349.906,1.503,54.541,0.951,1.216,0.226,0.17,0.225,1.453,0.262,75.0,0.22,0.014,7.6,3.3,"nan",1,0,0
"Aveni-Hunter 1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"Basel 8","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
