"Name","OCFlag","GLON","GLAT","RA_ICRS","DE_ICRS","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","RV","e_RV","f_RV","NRV","N","m-M","logt","E(B-V)","rh","rc","e_rc","rt","e_rt","ro","e_ro","re","e_re","RefName","r_RefName"
"OCSN 1",1,0.41,6.89,260.16,-24.86,-4.75,0.5,-21.64,0.54,6.73,0.2,-4.46,4.57,1,29,53,5.82,7.2,0.02,1.44,1.66,0.05,8.14,0.67,"nan","nan","nan","nan","nan","nan"
"OCSN 2",1,5.04,13.18,257.35,-17.54,-5.68,0.45,-11.25,0.7,4.78,0.16,-20.12,3.29,1,12,48,6.41,7.15,0.0,0.96,2.91,0.24,3.25,0.11,3.03,0.03,5.15,0.18,"nan","nan"
"OCSN 3",1,11.87,-3.87,276.52,-20.48,7.31,0.87,-26.9,4.19,6.3,0.68,-10.81,2.62,1,89,231,6.56,8.45,0.21,3.74,5.25,0.49,9.75,0.89,8.78,0.26,15.33,1.7,"nan","nan"
"OCSN 4",1,13.4,1.66,272.15,-16.51,0.02,0.31,-3.93,0.27,2.08,0.07,-10.09,8.89,1,16,41,9.27,7.95,0.35,0.99,1.76,0.14,3.04,0.18,"nan","nan","nan","nan","nan","nan"
"OCSN 5",1,19.53,-10.36,286.21,-16.56,0.81,0.89,-11.69,1.42,4.12,0.34,-22.79,3.04,1,62,149,7.48,7.9,0.19,2.44,4.26,0.32,7.6,0.41,1.74,"nan",1.93,"nan","nan","nan"
"OCSN 6",1,24.87,2.64,276.81,-5.96,0.18,0.47,-11.23,0.87,2.4,0.12,-23.25,22.17,1,14,61,10.95,8.8,1.01,1.08,1.06,0.02,2.55,0.07,1.59,0.02,4.09,0.21,"nan","nan"
"OCSN 7",1,25.73,-2.87,282.13,-7.71,1.12,0.4,-11.15,0.46,2.29,0.11,-10.04,5.26,1,30,101,8.67,7.95,0.22,1.77,2.47,0.21,4.61,0.3,0.92,0.03,1.36,0.17,"nan","nan"
"OCSN 8",1,32.75,-17.82,298.74,-8.18,9.73,3.77,-25.44,3.95,7.25,0.36,-10.37,9.91,1,23,60,5.87,7.95,0.08,4.04,3.64,0.22,11.81,2.17,4.44,0.17,9.26,1.3,"nan","nan"
"OCSN 9",1,42.15,19.56,269.03,16.68,-1.45,0.4,-8.93,0.64,3.27,0.14,-16.2,3.31,1,33,139,7.63,7.6,0.1,1.89,3.9,0.11,5.36,0.07,"nan","nan","nan","nan","nan","nan"
"OCSN 10",1,43.01,13.19,275.41,14.82,-2.06,0.42,-7.64,0.57,2.73,0.16,-14.98,5.17,1,31,88,8.49,7.45,0.19,1.65,2.76,0.35,5.51,0.89,2.69,0.02,3.72,0.13,"nan","nan"
"OCSN 11",1,47.93,20.55,270.27,22.07,-1.46,0.43,-7.91,0.59,3.36,0.15,-18.21,2.56,1,28,84,7.81,7.75,0.18,1.96,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 12",1,49.35,14.8,276.54,21.08,-1.45,0.47,-6.09,0.53,2.31,0.16,-17.25,3.26,1,39,135,8.71,7.45,0.17,2.7,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 13",1,55.66,2.05,291.75,21.1,1.43,0.34,-6.47,0.38,2.0,0.07,-10.37,3.79,1,74,341,8.87,6.9,0.15,0.64,0.44,0.37,2.04,9.15,0.65,0.04,2.37,0.46,"nan","nan"
"OCSN 14",1,56.92,3.25,291.25,22.77,1.24,0.42,-5.64,0.32,1.95,0.06,-4.65,7.44,1,13,66,11.14,8.35,0.94,0.37,0.39,0.01,1.54,0.2,0.63,0.01,0.99,0.04,"nan","nan"
"OCSN 15",1,58.44,10.4,284.96,27.34,-5.05,0.64,-4.03,1.22,3.88,0.24,-25.61,3.01,1,37,92,7.46,8.1,0.2,2.6,3.39,0.23,8.17,0.62,"nan","nan","nan","nan","nan","nan"
"OCSN 16",1,62.43,13.51,283.56,32.18,1.18,0.4,-3.67,0.37,2.68,0.12,-16.08,3.65,1,56,151,8.18,7.45,0.11,1.24,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 17",1,63.43,-18.27,314.23,16.62,5.24,0.47,-4.57,0.31,2.68,0.07,1.05,1.31,1,13,39,7.83,8.0,0.06,0.82,1.54,0.16,1.86,0.11,1.49,0.01,3.29,0.1,"nan","nan"
"OCSN 18",1,63.9,15.49,282.05,34.27,0.75,0.41,-3.14,0.32,2.69,0.1,1.05,1.31,1,28,81,8.05,7.45,0.07,0.89,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 19",1,64.16,4.31,294.06,29.63,1.09,0.5,-4.69,0.45,3.08,0.3,-21.51,3.41,1,34,103,7.82,7.7,0.11,1.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 20",1,66.02,-3.76,303.01,27.06,1.94,0.21,-9.4,0.63,2.15,0.1,-21.02,1.51,1,20,51,8.57,7.85,0.11,1.19,2.43,0.57,3.07,0.41,2.74,0.03,3.58,0.24,"nan","nan"
"OCSN 21",1,75.36,11.49,292.6,42.78,3.55,1.16,-0.38,1.94,5.28,0.3,-23.96,3.08,1,37,85,6.11,8.0,0.0,3.66,6.43,0.55,10.25,0.58,"nan","nan","nan","nan","nan","nan"
"OCSN 22",1,80.87,13.26,293.75,48.39,3.3,0.42,1.86,0.55,3.27,0.27,-14.49,10.75,1,41,130,7.63,7.7,0.07,3.58,5.18,0.39,8.98,0.89,3.88,0.1,8.25,0.75,"nan","nan"
"OCSN 23",1,84.88,6.69,305.3,48.52,3.3,0.52,2.02,0.25,2.89,0.14,-7.69,3.03,1,55,220,7.97,7.5,0.11,1.28,1.32,0.12,6.22,3.17,1.47,0.02,2.87,0.15,"nan","nan"
"OCSN 24",1,87.97,2.04,313.69,48.17,12.11,4.51,2.54,1.89,6.1,0.58,-23.45,3.87,1,99,245,6.05,8.05,0.01,5.48,8.9,0.41,14.26,0.33,"nan","nan","nan","nan","nan","nan"
"OCSN 25",1,88.76,-0.69,317.49,46.96,2.74,0.23,-2.68,0.3,2.32,0.12,-15.92,7.11,1,18,61,8.52,7.45,0.12,1.13,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 26",1,90.65,-24.25,338.68,29.92,-8.08,0.55,-4.44,0.37,3.13,0.12,6.06,2.19,1,27,51,7.57,8.95,0.09,1.6,2.84,0.12,5.23,0.2,4.12,0.08,7.53,0.45,"nan","nan"
"OCSN 27",1,91.17,-2.31,321.68,47.54,3.3,0.18,-2.53,0.13,2.41,0.06,-15.23,3.49,1,19,55,8.47,7.35,0.11,0.47,0.59,0.01,1.5,0.06,0.81,0.04,1.87,0.38,"nan","nan"
"OCSN 28",1,95.09,-1.13,324.87,51.06,3.97,0.37,-2.09,0.21,2.33,0.13,-13.0,2.77,1,47,154,8.43,7.45,0.11,1.73,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 29",1,95.45,-17.77,339.08,37.79,-1.81,0.24,-6.15,0.21,2.05,0.09,-13.7,4.61,1,19,87,8.79,7.2,0.13,0.5,0.94,0.17,1.48,0.18,"nan","nan","nan","nan","nan","nan"
"OCSN 30",1,96.15,0.95,323.91,53.32,8.83,0.37,6.51,0.3,2.1,0.05,-16.38,3.0,1,33,53,9.12,8.6,0.28,0.74,2.16,0.18,2.24,0.06,"nan","nan","nan","nan","nan","nan"
"OCSN 31",1,97.21,-3.17,329.53,50.84,9.68,0.76,-0.36,0.61,3.58,0.11,-5.2,2.53,1,20,62,7.4,7.5,0.09,1.9,2.06,0.02,10.19,0.26,"nan","nan","nan","nan","nan","nan"
"OCSN 32",1,97.83,-16.47,340.75,40.06,-1.99,0.37,-5.17,0.31,2.32,0.06,-14.8,2.81,1,29,123,8.52,7.2,0.13,0.97,1.55,0.1,3.13,0.25,1.88,0.05,2.84,0.26,"nan","nan"
"OCSN 33",1,103.33,-0.47,335.34,56.57,16.18,1.51,4.89,0.72,4.11,0.14,-13.96,3.0,1,56,162,7.04,8.0,0.1,3.21,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 34",1,104.09,14.2,315.42,68.19,7.95,0.61,-1.12,0.45,2.91,0.07,-17.52,22.68,1,24,79,7.8,7.15,0.13,1.52,2.78,3.28,3.59,3.5,2.85,0.07,4.72,0.51,"nan","nan"
"OCSN 35",1,104.45,-13.66,346.82,45.44,-0.66,0.33,-3.57,0.51,1.99,0.27,-14.21,5.69,1,87,287,8.89,7.7,0.15,1.91,3.3,0.31,5.45,0.32,2.8,0.02,3.52,0.12,"nan","nan"
"OCSN 36",1,105.73,-16.29,349.83,43.48,5.72,0.62,-3.49,0.43,2.14,0.12,-9.9,5.25,1,23,60,9.33,8.7,0.31,2.34,3.2,0.19,8.43,0.63,"nan","nan","nan","nan","nan","nan"
"OCSN 37",1,110.23,11.26,333.45,70.14,5.36,0.33,0.97,0.3,2.72,0.08,-37.58,19.23,2,9,25,8.08,6.75,0.1,0.2,0.4,0.02,0.78,0.03,0.62,0.01,1.24,0.04,"nan","nan"
"OCSN 38",1,111.62,13.72,332.37,72.93,5.36,0.29,1.61,0.22,2.93,0.07,-17.5,4.64,1,16,60,8.48,6.75,0.3,0.58,1.15,0.25,1.47,0.15,"nan","nan","nan","nan","nan","nan"
"OCSN 39",1,114.63,14.47,339.75,75.17,6.92,0.39,0.73,0.38,2.91,0.05,-41.6,16.44,1,8,40,8.33,6.8,0.25,0.28,0.64,0.29,1.06,0.53,0.92,9.59,1.06,54.53,"nan","nan"
"OCSN 40",1,115.21,-5.61,358.86,56.42,8.16,0.37,-3.32,0.34,2.49,0.09,-11.28,3.07,1,27,113,8.27,7.25,0.14,0.69,0.81,0.01,1.91,0.04,1.26,0.01,2.91,0.09,"nan","nan"
"OCSN 41",1,116.02,-7.92,1.07,54.32,8.34,0.28,-4.05,0.3,2.5,0.07,-11.46,7.16,1,16,66,8.06,7.2,0.09,0.86,0.63,0.03,3.06,0.89,0.85,0.01,2.3,0.07,"nan","nan"
"OCSN 42",1,122.68,-3.63,12.36,59.24,25.83,1.99,-5.19,4.0,5.44,0.23,-10.48,6.22,1,52,121,6.3,7.8,0.04,4.78,11.13,2.03,11.68,0.72,"nan","nan","nan","nan","nan","nan"
"OCSN 43",1,125.39,-11.82,16.68,50.98,15.46,0.39,-7.02,0.68,3.09,0.09,-8.78,8.22,2,15,50,8.17,7.3,0.18,1.78,2.67,0.21,5.65,0.35,"nan","nan","nan","nan","nan","nan"
"OCSN 44",1,127.01,0.81,21.99,63.4,-6.46,1.11,-0.93,0.95,2.1,0.13,-12.7,4.17,1,24,54,9.34,8.9,0.33,0.78,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 45",1,127.29,-0.66,22.15,61.9,7.79,0.51,-4.1,1.1,2.64,0.13,-3.38,5.2,1,73,161,8.58,7.65,0.23,2.39,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 46",1,133.5,8.5,43.04,68.85,1.44,0.25,-7.95,0.19,2.28,0.04,-6.5,4.3,1,43,103,9.22,8.8,0.38,0.43,0.69,0.02,1.19,0.03,1.04,0.01,2.1,0.08,"nan","nan"
"OCSN 47",1,136.51,0.7,41.36,60.53,25.82,2.3,-16.84,2.89,5.64,0.31,-5.75,4.08,1,34,78,6.32,7.8,0.07,3.67,5.11,0.54,15.14,4.68,4.81,0.03,7.65,0.21,"nan","nan"
"OCSN 48",1,152.23,-19.08,47.61,35.76,17.61,0.61,-28.59,1.79,5.02,0.23,-2.99,5.12,1,43,107,6.79,7.8,0.07,5.45,8.76,0.78,13.19,1.01,9.42,0.17,21.99,1.68,"nan","nan"
"OCSN 49",1,167.4,10.97,90.55,45.26,-3.97,0.73,-7.64,0.58,4.64,0.27,-0.93,3.58,1,105,258,6.66,8.85,0.03,6.69,14.84,2.15,21.09,1.68,"nan","nan","nan","nan","nan","nan"
"OCSN 50",1,172.49,-21.82,62.27,21.5,4.84,1.17,-6.04,0.84,5.07,0.28,14.52,4.31,1,26,80,7.4,7.2,0.31,4.48,4.46,0.34,12.07,0.71,"nan","nan","nan","nan","nan","nan"
"OCSN 51",1,174.77,-18.96,66.09,21.83,5.27,0.75,-9.48,0.7,5.07,0.18,14.52,4.31,1,10,38,7.64,7.65,0.41,3.86,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 52",1,175.07,-15.42,69.21,23.91,6.68,1.27,-21.1,0.85,7.55,0.38,9.27,15.53,1,9,44,6.14,6.6,0.18,1.14,2.27,0.54,3.93,0.52,"nan","nan","nan","nan","nan","nan"
"OCSN 53",1,178.97,-19.85,68.08,18.23,12.11,0.89,-18.93,0.84,6.86,0.1,17.94,4.25,1,12,27,6.23,6.6,0.15,0.36,0.64,0.02,1.36,0.08,0.84,0.01,1.83,0.12,"nan","nan"
"OCSN 54",1,185.29,-13.04,77.62,17.42,0.59,0.21,-5.52,0.27,2.36,0.11,12.5,7.39,1,15,41,8.81,7.5,0.26,0.7,1.03,0.03,2.45,0.1,1.21,0.03,2.0,0.12,"nan","nan"
"OCSN 55",1,193.62,5.53,98.94,19.69,3.06,0.78,-11.05,0.82,4.74,0.15,38.15,1.51,1,18,48,7.0,8.4,0.17,0.78,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 56",1,201.1,-16.69,82.65,2.51,-0.8,0.51,0.54,0.47,2.44,0.11,29.31,7.39,1,76,297,8.26,7.2,0.08,1.6,2.31,0.48,2.93,0.46,1.82,0.03,4.54,0.27,"nan","nan"
"OCSN 57",1,201.55,-17.56,82.1,1.71,-0.49,0.36,0.8,0.37,2.73,0.11,30.01,3.04,1,63,218,7.87,7.3,0.04,0.79,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 58",1,202.43,-19.0,81.25,0.28,-0.05,0.22,1.31,0.26,2.37,0.03,25.58,5.99,1,9,29,8.24,7.05,0.07,0.95,1.14,0.12,4.21,0.83,"nan","nan","nan","nan","nan","nan"
"OCSN 59",1,203.59,-24.39,77.03,-3.25,1.26,0.28,-0.8,0.3,2.61,0.13,15.41,16.22,1,25,120,8.17,6.9,0.1,0.61,0.74,0.03,3.03,0.44,1.03,0.01,1.8,0.06,"nan","nan"
"OCSN 60",1,204.2,-24.05,77.6,-3.58,0.43,0.2,-1.3,0.25,2.89,0.1,17.21,4.16,1,21,95,7.95,6.95,0.1,1.51,2.32,0.16,4.58,0.26,"nan","nan","nan","nan","nan","nan"
"OCSN 61",1,204.56,-16.81,84.14,-0.45,-1.08,0.25,-0.62,0.27,2.57,0.12,31.65,2.97,1,49,208,8.12,7.25,0.06,0.72,0.82,0.07,2.27,0.51,0.86,0.01,1.51,0.08,"nan","nan"
"OCSN 62",1,205.28,-14.35,86.64,0.1,-0.43,0.77,-0.66,0.44,2.4,0.1,17.75,25.37,1,27,143,10.19,6.9,0.79,0.27,0.44,0.0,0.86,0.01,0.69,0.0,1.33,0.04,"nan","nan"
"OCSN 63",1,205.62,-6.66,93.58,3.42,-4.07,0.5,-3.51,0.61,3.08,0.18,25.31,3.99,1,91,265,7.85,7.3,0.07,2.41,3.76,0.6,6.81,0.73,1.69,0.09,2.59,0.53,"nan","nan"
"OCSN 64",1,205.63,-21.91,80.11,-3.74,0.33,0.41,5.21,0.24,3.05,0.11,23.16,3.87,1,13,45,8.11,7.1,0.17,1.53,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 65",1,205.67,-17.67,83.88,-1.79,-1.34,0.41,0.93,0.3,2.37,0.06,26.34,5.95,1,37,160,8.6,7.15,0.19,0.65,0.99,0.13,1.8,0.31,0.84,0.01,1.43,0.04,"nan","nan"
"OCSN 66",1,206.51,-16.37,85.41,-1.89,0.14,0.58,-0.75,0.93,2.53,0.12,27.41,61.94,2,14,62,9.03,6.6,0.43,0.15,0.25,0.01,0.4,0.01,0.25,0.0,0.3,0.0,"nan","nan"
"OCSN 67",1,207.72,-24.42,78.76,-6.6,1.69,0.48,-3.16,0.3,3.58,0.14,14.49,4.66,1,17,62,7.31,7.25,0.13,1.92,4.69,1.27,4.82,0.41,1.53,0.05,2.08,0.29,"nan","nan"
"OCSN 68",1,208.88,-18.68,84.4,-4.96,-1.54,0.36,1.36,0.25,2.37,0.11,28.97,5.66,1,17,70,9.19,7.4,0.4,0.98,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 69",1,212.88,-10.82,93.19,-4.86,-6.5,0.49,2.81,0.55,3.0,0.21,24.1,3.7,1,33,89,7.73,7.6,0.04,1.87,2.25,0.16,8.95,2.49,2.23,0.01,3.41,0.06,"nan","nan"
"OCSN 70",1,213.49,-19.85,85.27,-9.38,0.57,0.25,-1.25,0.43,2.23,0.12,15.73,11.99,1,18,130,9.98,6.9,0.64,0.39,0.38,0.04,0.87,0.17,0.4,0.01,0.66,0.05,"nan","nan"
"OCSN 71",1,213.84,-15.52,89.37,-7.79,-2.79,0.6,-0.68,0.56,3.48,0.25,24.46,15.41,1,43,128,7.49,7.65,0.11,3.29,4.51,0.1,10.19,0.22,"nan","nan","nan","nan","nan","nan"
"OCSN 72",1,216.31,-18.44,87.73,-11.18,0.5,0.41,-0.57,0.44,3.57,0.16,11.49,10.84,1,21,55,7.74,7.35,0.16,2.27,2.76,0.27,11.19,4.34,3.27,0.02,5.83,0.13,"nan","nan"
"OCSN 73",1,217.51,9.26,113.18,0.19,-1.59,0.32,-0.26,0.23,2.11,0.08,1.21,3.86,1,27,54,8.79,8.4,0.13,0.86,2.25,0.3,2.34,0.1,"nan","nan","nan","nan","nan","nan"
"OCSN 74",1,221.09,-27.23,81.19,-18.72,1.78,0.56,5.52,0.31,2.58,0.11,20.14,8.13,2,34,82,7.9,7.9,0.01,3.23,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 75",1,224.2,-21.54,87.89,-19.22,-7.26,0.56,1.34,0.36,3.06,0.21,20.31,2.5,1,35,85,7.71,7.9,0.03,2.57,4.7,0.81,7.86,0.46,"nan","nan","nan","nan","nan","nan"
"OCSN 76",1,226.55,-10.29,99.67,-16.71,-4.52,0.49,4.73,0.58,2.25,0.18,26.37,3.43,1,29,91,8.95,7.8,0.26,1.28,1.99,0.32,3.42,0.4,"nan","nan","nan","nan","nan","nan"
"OCSN 77",1,228.8,2.67,112.66,-12.82,-5.79,0.19,-0.99,0.25,1.88,0.07,15.22,4.62,1,59,121,8.97,8.0,0.13,0.79,1.52,0.19,2.04,0.11,"nan","nan","nan","nan","nan","nan"
"OCSN 78",1,229.36,-10.93,100.29,-19.48,-6.31,0.38,5.16,0.45,2.62,0.18,21.63,5.36,1,66,202,8.02,7.65,0.06,2.96,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 79",1,229.57,-26.02,85.26,-25.41,0.96,0.48,5.76,0.25,2.38,0.1,21.64,2.96,1,35,74,8.46,7.9,0.09,1.95,5.32,0.95,5.36,0.31,1.83,"nan",1.89,"nan","nan","nan"
"OCSN 80",1,232.41,-4.36,107.96,-19.3,-8.23,0.46,3.76,0.28,2.44,0.15,24.52,8.16,1,25,73,8.38,7.5,0.13,1.29,3.03,0.41,3.13,0.14,"nan","nan","nan","nan","nan","nan"
"OCSN 81",1,233.31,-21.32,91.48,-27.03,-6.74,0.55,0.41,0.78,3.19,0.16,1.51,2.81,1,27,74,7.62,8.65,0.04,1.95,2.7,0.07,6.03,0.13,"nan","nan","nan","nan","nan","nan"
"OCSN 82",1,245.35,-11.09,107.6,-33.77,-5.6,0.41,6.39,0.24,2.44,0.09,18.22,2.94,1,67,221,8.23,7.45,0.06,1.68,1.82,0.33,6.84,4.52,2.56,0.04,4.67,0.33,"nan","nan"
"OCSN 83",1,247.88,-0.2,120.34,-30.76,-8.94,0.42,5.52,0.35,2.03,0.1,28.97,4.7,1,61,200,8.79,7.45,0.1,1.23,1.96,0.23,4.9,1.07,2.08,0.02,2.78,0.1,"nan","nan"
"OCSN 84",1,248.81,-5.96,115.0,-34.48,-8.38,0.4,4.28,0.12,2.31,0.1,16.4,2.82,1,21,73,8.62,7.55,0.17,0.97,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 85",1,255.22,-11.61,112.37,-42.72,-4.65,0.73,2.03,0.44,2.78,0.19,29.4,3.81,1,33,76,8.13,8.7,0.16,2.32,4.0,0.53,6.32,0.44,"nan","nan","nan","nan","nan","nan"
"OCSN 86",1,257.16,12.59,138.66,-30.42,-20.13,2.02,15.97,1.02,3.84,0.21,24.62,2.94,1,30,74,7.52,7.9,0.15,1.84,3.8,0.49,4.9,0.39,1.9,"nan",1.92,"nan","nan","nan"
"OCSN 87",1,281.14,-21.06,115.13,-69.23,-1.97,1.08,-0.47,1.12,7.47,1.01,0.31,3.13,1,36,72,6.34,8.55,0.17,5.37,6.43,0.31,14.37,1.36,7.07,0.23,18.49,1.91,"nan","nan"
"OCSN 88",1,283.45,-9.42,143.09,-64.47,-32.38,3.76,43.96,3.61,11.21,0.63,22.91,2.66,1,27,41,5.34,8.55,0.18,2.48,3.62,0.09,9.46,0.5,4.45,0.07,8.06,0.48,"nan","nan"
"OCSN 89",1,300.98,-3.24,188.06,-66.04,-13.49,0.6,-2.96,0.64,2.48,0.05,3.72,4.1,1,29,72,9.1,8.15,0.41,1.11,2.24,0.23,2.9,0.1,"nan","nan","nan","nan","nan","nan"
"OCSN 90",1,309.55,-1.42,207.83,-63.52,-8.51,0.52,-5.31,0.42,2.23,0.04,-12.38,3.75,1,66,139,8.7,8.0,0.16,0.82,1.0,0.14,2.7,0.74,1.6,0.03,3.71,0.21,"nan","nan"
"OCSN 91",1,332.58,16.53,229.69,-37.72,-18.94,0.62,-26.82,0.48,7.43,0.15,6.01,2.63,1,14,26,5.67,7.2,0.02,0.87,1.44,0.04,2.65,0.1,1.98,0.02,4.51,0.14,"nan","nan"
"OCSN 92",1,335.02,17.05,231.72,-35.96,-20.38,1.29,-23.75,0.67,7.26,0.31,1.05,5.36,1,34,83,5.76,7.3,0.02,1.87,5.83,1.84,3.77,0.17,1.6,0.71,4.24,7.21,"nan","nan"
"OCSN 93",1,338.27,-8.66,260.63,-51.85,-8.55,1.09,-17.02,0.61,3.52,0.23,-7.89,2.34,1,17,50,7.24,8.35,0.09,2.31,3.65,0.3,6.54,0.4,"nan","nan","nan","nan","nan","nan"
"OCSN 94",1,344.44,2.3,253.2,-40.36,-2.46,0.4,-10.88,0.34,2.19,0.04,-12.65,5.17,1,22,45,9.25,7.95,0.35,1.06,1.31,0.18,3.7,1.43,1.33,0.02,3.08,0.16,"nan","nan"
"OCSN 95",1,345.23,2.71,253.45,-39.49,-3.47,0.64,-7.89,0.49,2.57,0.09,-12.76,5.26,1,57,153,8.48,7.65,0.23,3.56,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 96",1,350.01,22.17,240.27,-22.91,-12.1,1.26,-23.88,0.97,6.99,0.16,-6.17,4.36,1,98,242,6.22,6.95,0.17,1.56,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 97",1,350.53,-7.08,267.92,-40.68,4.53,0.51,-6.23,0.6,2.18,0.13,-24.73,5.57,1,34,72,8.93,8.4,0.23,1.19,2.23,1.14,8.63,15.7,1.37,0.05,1.89,0.25,"nan","nan"
"OCSN 98",1,353.17,23.66,241.3,-19.78,-9.86,0.64,-21.76,0.42,6.6,0.12,-6.78,13.52,1,33,72,6.16,6.85,0.1,0.7,0.71,0.03,3.88,0.58,"nan","nan","nan","nan","nan","nan"
"OCSN 99",1,353.37,6.88,255.56,-30.54,-9.87,2.2,-49.0,2.14,7.34,0.31,-0.25,5.19,1,42,107,5.69,8.15,0.04,5.35,12.68,1.32,13.39,0.47,"nan","nan","nan","nan","nan","nan"
"OCSN 100",1,354.57,22.82,242.88,-19.41,-8.66,0.7,-24.36,0.66,7.19,0.13,-7.64,4.05,1,42,95,6.37,6.85,0.29,0.74,0.98,0.07,3.22,0.36,"nan","nan","nan","nan","nan","nan"
"OCSN 101",1,356.07,-20.53,287.13,-41.29,-1.2,0.42,-8.67,0.45,2.08,0.05,1.64,6.92,1,18,44,8.88,7.8,0.16,1.49,1.84,0.21,7.05,3.25,1.84,0.03,3.73,0.21,"nan","nan"
"OCSN 102,CWNU_5",2,178.11,-10.85,75.16,24.41,1.23,0.24,-5.27,0.34,2.06,0.1,14.68,7.62,1,82,180,9.71,8.35,0.5,1.85,3.73,0.7,4.12,0.25,"nan","nan","nan","nan","CWNU_5","He22a"
"OCSN 103,CWNU_232",2,209.91,-10.43,92.21,-2.08,0.13,0.27,-2.94,0.48,2.02,0.11,38.22,4.4,1,42,90,8.56,8.35,0.07,1.05,1.87,0.1,3.09,0.16,2.28,0.02,4.98,0.16,"CWNU_232","He22a"
"OCSN 104",2,212.92,8.36,110.3,3.81,-6.48,0.21,-5.05,0.43,2.13,0.1,13.88,5.27,1,72,195,8.35,7.95,0.01,1.08,2.34,0.38,2.53,0.19,2.2,0.02,3.93,0.13,"CWNU_254, Tian_1","He22a, T20"
"OCSN 105,CWNU_314",2,26.7,-9.01,288.13,-9.6,-0.57,0.22,-6.69,0.3,2.7,0.1,-18.65,3.25,1,29,62,8.61,7.85,0.32,1.26,1.49,0.03,5.3,0.22,"nan","nan","nan","nan","CWNU_314","He22a"
"OCSN 106",2,70.14,15.53,284.9,39.84,1.66,0.52,-1.58,0.4,2.85,0.14,-18.53,3.65,1,85,251,7.81,7.45,0.06,2.01,5.05,0.47,5.49,0.17,"nan","nan","nan","nan","CWNU_375, CWNU_510, UPK_101","He22a, Sim19"
"OCSN 107",2,159.52,-14.68,57.71,35.15,3.4,0.23,-4.47,0.31,2.58,0.12,19.98,5.0,1,53,237,8.59,7.0,0.28,0.93,1.57,0.1,2.91,0.15,"nan","nan","nan","nan","CWNU_514, Mestor","He22a, P21"
"OCSN 108,CWNU_519",2,94.36,7.57,313.4,56.61,5.06,0.45,3.51,0.31,3.09,0.12,-5.69,3.14,1,67,230,7.63,7.5,0.03,1.9,4.02,0.71,5.19,0.43,2.15,0.03,2.61,0.17,"CWNU_519","He22a"
"OCSN 109,CWNU_522",2,192.42,-19.47,76.0,8.17,0.91,0.42,-4.44,0.35,2.56,0.17,17.72,3.23,1,44,127,8.28,7.65,0.13,1.54,2.1,0.17,3.89,0.18,"nan","nan","nan","nan","CWNU_522","He22a"
"OCSN 110,CWNU_533",2,113.4,-6.64,356.19,54.99,5.28,0.25,-4.47,0.17,2.28,0.06,-13.41,3.02,2,21,38,8.98,7.9,0.28,1.31,3.19,1.75,3.61,0.8,2.25,4.48,37.52,436.35,"CWNU_533","He22a"
"OCSN 111",2,185.23,-11.13,79.24,18.54,-0.38,0.62,-5.82,0.39,2.85,0.24,23.09,6.48,1,95,300,8.21,7.45,0.19,3.01,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1007, CWNU_1009","He22b"
"OCSN 112",2,188.72,-2.82,88.65,20.0,8.17,1.56,-19.23,1.97,4.89,0.48,20.58,3.34,1,77,226,7.14,7.7,0.18,2.67,4.2,0.58,6.6,0.92,3.37,0.03,4.76,0.17,"CWNU_1025, Taurua_Group16","He22b, Liu21"
"OCSN 113,CWNU_1032",2,68.15,-0.36,301.06,30.69,3.97,0.75,-1.25,0.56,2.68,0.15,-19.19,2.81,1,126,286,8.18,7.75,0.09,2.35,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1032","He22b"
