"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"NGC 2264        ",100.247,0.06,9.734,0.189,1.383,0.089,-1.818,0.424,-3.701,0.2,0.241,725,0.718,8.965,"nan","nan","nan","nan","nan","nan"
"NGC 2266        ",100.833,0.018,26.976,0.03,0.298,0.062,-0.462,0.099,-1.264,0.091,0.058,316,3.385,11.606,"nan","nan","nan","nan","nan","nan"
"NGC 2269        ",100.816,0.018,4.634,0.026,0.469,0.038,-1.151,0.067,-0.551,0.089,0.068,110,2.16,10.259,"nan","nan","nan","nan","nan","nan"
"NGC 2281        ",102.094,0.178,41.072,0.166,1.925,0.088,-2.952,0.216,-8.323,0.173,0.262,295,0.518,8.794,"nan","nan","nan","nan","nan","nan"
"NGC 2287        ",101.502,0.135,-20.726,0.135,1.399,0.051,-4.353,0.146,-1.391,0.199,0.271,489,0.712,8.758,"nan","nan","nan","nan","nan","nan"
"NGC 2301        ",102.943,0.104,0.461,0.067,1.169,0.072,-1.336,0.15,-2.183,0.135,0.162,488,0.856,9.033,"nan","nan","nan","nan","nan","nan"
"NGC 2302        ",102.963,0.043,-7.085,0.044,0.832,0.059,-1.491,0.107,-0.28,0.122,0.095,103,1.208,9.266,"nan","nan","nan","nan","nan","nan"
"NGC 2304        ",103.816,0.028,17.978,0.016,0.264,0.025,-0.036,0.025,-1.501,0.02,0.045,107,3.929,12.061,"nan","nan","nan","nan","nan","nan"
"NGC 2311        ",104.504,0.102,-4.628,0.061,0.474,0.045,-1.573,0.193,0.821,0.095,0.153,313,2.1,10.041,"nan","nan","nan","nan","nan","nan"
"NGC 2323        ",105.705,0.1,-8.359,0.118,1.033,0.052,-0.749,0.211,-0.625,0.147,0.222,903,0.967,9.045,"nan","nan","nan","nan","nan","nan"
"NGC 2324        ",106.043,0.024,1.05,0.037,0.217,0.025,-0.324,0.031,-0.11,0.036,0.083,322,4.606,12.397,"nan","nan","nan","nan","nan","nan"
"NGC 2335        ",106.694,0.061,-10.029,0.048,0.618,0.031,-0.779,0.07,-0.662,0.061,0.125,225,1.603,9.525,"nan","nan","nan","nan","nan","nan"
"NGC 2343        ",107.022,0.037,-10.624,0.049,0.936,0.03,0.262,0.136,-0.181,0.119,0.116,202,1.064,9.092,"nan","nan","nan","nan","nan","nan"
"NGC 2345        ",107.08,0.041,-13.203,0.055,0.375,0.039,-1.339,0.06,1.351,0.058,0.101,508,2.679,10.325,"nan","nan","nan","nan","nan","nan"
"NGC 2353        ",108.644,0.054,-10.25,0.064,0.849,0.049,-1.105,0.117,0.752,0.104,0.113,244,1.178,9.175,"nan","nan","nan","nan","nan","nan"
"NGC 2354        ",108.48,0.08,-25.721,0.039,0.784,0.031,-2.904,0.096,1.827,0.119,0.102,181,1.275,9.029,"nan","nan","nan","nan","nan","nan"
"NGC 2355        ",109.246,0.067,13.77,0.071,0.527,0.094,-3.801,0.136,-1.066,0.137,0.094,379,1.898,10.031,"nan","nan","nan","nan","nan","nan"
"NGC 2360        ",109.444,0.098,-15.637,0.078,0.931,0.054,0.363,0.115,5.591,0.106,0.155,594,1.073,9.03,"nan","nan","nan","nan","nan","nan"
"NGC 2362        ",109.673,0.026,-24.933,0.046,0.786,0.051,-2.783,0.1,2.916,0.083,0.136,303,1.268,9.029,"nan","nan","nan","nan","nan","nan"
"NGC 2374        ",111.007,0.084,-13.251,0.062,0.784,0.067,-4.626,0.118,0.658,0.072,0.175,98,1.266,9.189,"nan","nan","nan","nan","nan","nan"
